particle,frame,x,y,Distance,Velocity,Pixel Value
1,569,519,279,0.816,0.408,46
1,570,517,280,0.288,0.144,34
1,571,524,308,3.723,1.862,48
1,572,520,339,4.032,2.016,41
1,573,518,365,3.364,1.682,32
1,574,515,382,2.227,1.113,43
1,575,520,356,3.415,1.708,40
1,576,513,362,1.189,0.595,33
1,577,511,381,2.465,1.232,34
1,578,520,376,1.328,0.664,50
1,579,520,363,1.677,0.839,40
1,580,521,355,1.040,0.520,45
1,581,525,334,2.758,1.379,66
1,582,524,333,0.182,0.091,45
1,583,521,345,1.596,0.798,56
1,584,522,350,0.658,0.329,40
1,585,524,338,1.569,0.785,32
1,586,521,325,1.721,0.861,40
1,587,518,333,1.102,0.551,36
1,588,516,316,2.208,1.104,39
1,589,513,341,3.248,1.624,27
1,590,505,385,5.769,2.885,25
1,591,516,367,2.721,1.361,31
1,592,510,391,3.191,1.596,30
1,593,518,367,3.263,1.632,39
1,594,519,348,2.454,1.227,37
1,595,519,340,1.032,0.516,37
1,596,523,328,1.632,0.816,44
1,597,527,329,0.532,0.266,60
1,598,525,337,1.064,0.532,83
1,599,525,345,1.032,0.516,56
1,600,522,356,1.471,0.735,70
1,601,520,377,2.721,1.361,53
1,602,522,365,1.569,0.785,75
1,603,525,355,1.347,0.673,47
1,604,525,316,5.031,2.516,57
1,605,523,303,1.697,0.848,68
1,606,523,309,0.774,0.387,60
1,607,523,330,2.709,1.355,73
1,608,520,365,4.532,2.266,49
1,609,519,371,0.785,0.392,40
1,610,520,365,0.785,0.392,72
